[22-Feb-2016 16:19:26 UTC] PHP Fatal error:  Class 'SettingType' not found in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbObject.php on line 3
[22-Feb-2016 16:19:54 UTC] PHP Fatal error:  Class 'DBObject' not found in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbObject.php on line 3
[22-Feb-2016 16:21:31 UTC] PHP Warning:  The magic method __get() must have public visibility and cannot be static in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/configLoader.php on line 8
[22-Feb-2016 16:21:31 UTC] PHP Fatal error:  Method Config::__get() must take exactly 1 argument in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/configLoader.php on line 13
[26-Feb-2016 09:56:43 UTC] PHP Warning:  The magic method __get() must have public visibility and cannot be static in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/configLoader.php on line 8
[26-Feb-2016 09:56:43 UTC] PHP Fatal error:  Method Config::__get() must take exactly 1 argument in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/configLoader.php on line 13
[26-Feb-2016 10:10:02 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 6
[26-Feb-2016 10:16:29 UTC] PHP Parse error:  syntax error, unexpected '::' (T_PAAMAYIM_NEKUDOTAYIM) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 100
[26-Feb-2016 10:19:03 UTC] PHP Fatal error:  Class 'DBObject' not found in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbObject.php on line 3
[26-Feb-2016 10:26:42 UTC] PHP Fatal error:  Abstract function DbDataSource::connect() cannot contain body in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbDataSource.php on line 11
[27-Feb-2016 16:58:28 UTC] PHP Parse error:  syntax error, unexpected '$defaultDataSource' (T_VARIABLE), expecting identifier (T_STRING) or class (T_CLASS) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/db.php on line 7
[28-Feb-2016 11:11:47 UTC] PHP Parse error:  syntax error, unexpected ')' in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/db.php on line 26
[28-Feb-2016 11:27:47 UTC] PHP Parse error:  syntax error, unexpected ')' in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/db.php on line 26
[28-Feb-2016 11:29:44 UTC] PHP Parse error:  syntax error, unexpected ')' in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/db.php on line 26
[28-Feb-2016 11:33:16 UTC] PHP Parse error:  syntax error, unexpected ')' in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/db.php on line 26
[28-Feb-2016 11:35:30 UTC] PHP Warning:  The magic method __callStatic() must have public visibility and be static in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbObject.php on line 31
[28-Feb-2016 11:35:30 UTC] PHP Fatal error:  Abstract function DbDataSource::isConnected() cannot contain body in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbDataSource.php on line 22
[28-Feb-2016 11:40:46 UTC] PHP Fatal error:  Abstract function DbDataSource::isConnected() cannot contain body in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbDataSource.php on line 22
[28-Feb-2016 11:45:21 UTC] PHP Fatal error:  Class CsvDataSource contains 7 abstract methods and must therefore be declared abstract or implement the remaining methods (DbDataSource::connect, DbDataSource::escapeMethod, DbDataSource::query, ...) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbDataSource.php on line 56
